     6      982     itext   idata											
																								
Haensel & Zdunik (2008) EOS: 																																											
   rho             P		    n         A_cell   A_ion       Z				
 (g/cm3)		(dynes/cm2)     (#/fm3)																

 
   1.29750e+11   1.98680e+29   7.77720e-05      56      56      20
   1.27520e+11   1.94160e+29   7.64410e-05      56      56      20
   1.25340e+11   1.89740e+29   7.51330e-05      56      56      20
   1.23190e+11   1.85420e+29   7.38470e-05      56      56      20
   1.21080e+11   1.81200e+29   7.25830e-05      56      56      20
   1.19000e+11   1.77070e+29   7.13410e-05      56      56      20
   1.16960e+11   1.73040e+29   7.01200e-05      56      56      20
   1.14960e+11   1.69100e+29   6.89200e-05      56      56      20
   1.12990e+11   1.65250e+29   6.77400e-05      56      56      20
   1.11050e+11   1.61490e+29   6.65810e-05      56      56      20
   1.09150e+11   1.57820e+29   6.54420e-05      56      56      20
   1.07280e+11   1.54220e+29   6.43220e-05      56      56      20
   1.05440e+11   1.50710e+29   6.32210e-05      56      56      20
   1.03630e+11   1.47280e+29   6.21390e-05      56      56      20
   1.01850e+11   1.43930e+29   6.10750e-05      56      56      20
   1.00110e+11   1.40650e+29   6.00300e-05      56      56      20
   9.83920e+10   1.37450e+29   5.90030e-05      56      56      20
   9.67060e+10   1.34320e+29   5.79930e-05      56      56      20
   9.50480e+10   1.31270e+29   5.70010e-05      56      56      20
   9.34190e+10   1.28280e+29   5.60250e-05      56      56      20
   9.18180e+10   1.25360e+29   5.50670e-05      56      56      20
   9.02450e+10   1.22500e+29   5.41240e-05      56      56      20
   8.86980e+10   1.19720e+29   5.31980e-05      56      56      20
   8.71780e+10   1.16990e+29   5.22880e-05      56      56      20
   8.56840e+10   1.14330e+29   5.13930e-05      56      56      20
   8.42150e+10   1.11730e+29   5.05130e-05      56      56      20
   8.27720e+10   1.09180e+29   4.96490e-05      56      56      20
   8.13540e+10   1.06700e+29   4.87990e-05      56      56      20
   8.10730e+10   1.06210e+29   4.86310e-05      56      56      20
   7.38300e+10   1.06210e+29   4.42900e-05      56      56      22
   7.28160e+10   1.04270e+29   4.36830e-05      56      56      22
   7.15680e+10   1.01890e+29   4.29350e-05      56      56      22
   7.03410e+10   9.95750e+28   4.22010e-05      56      56      22
   6.91360e+10   9.73090e+28   4.14790e-05      56      56      22
   6.79510e+10   9.50940e+28   4.07690e-05      56      56      22
   6.67860e+10   9.29290e+28   4.00710e-05      56      56      22
   6.56420e+10   9.08140e+28   3.93860e-05      56      56      22
   6.45170e+10   8.87470e+28   3.87120e-05      56      56      22
   6.34110e+10   8.67260e+28   3.80490e-05      56      56      22
   6.23250e+10   8.47520e+28   3.73980e-05      56      56      22
   6.12570e+10   8.28230e+28   3.67580e-05      56      56      22
   6.02070e+10   8.09380e+28   3.61290e-05      56      56      22
   5.91750e+10   7.90950e+28   3.55110e-05      56      56      22
   5.81610e+10   7.72950e+28   3.49030e-05      56      56      22
   5.71640e+10   7.55360e+28   3.43060e-05      56      56      22
   5.61850e+10   7.38160e+28   3.37190e-05      56      56      22
